Program,Level,Course,SCH
CS,1xx,CS 102,376
CS,1xx,CS 110,976
CS,1xx,CS 111,564
CS,1xx,CS 122,432
CS,2xx,CS 211,552
CS,2xx,CS 212,496
CS,3xx,CS 315,236
CS,3xx,CS 322,192
CS,3xx,CS 330,320
CS,4xx,CS 407,40
CS,4xx,CS 410,260
CS,4xx,CS 415,196
CS,4xx,CS 422,120
CS,4xx,CS 425,296
CS,4xx,CS 434,40
CS,4xx,CS 436,60
CS,4xx,CS 451,140
CS,4xx,CS 461,28
CS,4xx,CS 472,144
CS,5xx,CS 507,10
CS,5xx,CS 510,40
CS,5xx,CS 522,4
CS,5xx,CS 534,16
CS,5xx,CS 536,8
CS,5xx,CS 551,36
CS,5xx,CS 561,8
CS,5xx,CS 572,40
CS,6xx,CS 607,46
CS,6xx,CS 630,28
CS,6xx,CS 670,84
CIT,2xx,CIT 281,120
CIT,3xx,CIT 383,164
