CS,102,Fnd of Comp Security,4.00 cr.,36036,11,105,0830-0950,wf,110 FEN,Carrere D,
CS,110,Fluency with Info Tech,4.00 cr.,31281,45,100,1500-1550,mwf,282 LIL,Flores J,
CS,110,+ Lab,0.00 cr.,31284,11,25,1600-1650,m,B026 KLA,Elroy O,
CS,110,+ Lab,0.00 cr.,31285,13,25,1100-1150,t,B026 KLA,Sahu U,
CS,110,+ Lab,0.00 cr.,31289,16,25,1500-1550,r,B026 KLA,Osei F,
CS,110,+ Lab,0.00 cr.,31290,5,25,1400-1450,f,B026 KLA,Elroy O,
CS,110,Fluency with Info Tech,4.00 cr.,36228,8,25,1400-1520,tr,106 FR,Wilkins D,
CS,110,+ Lab,0.00 cr.,36230,8,25,1100-1150,m,B026 KLA,Sahu U,
CS,110,Fluency with Info Tech,4.00 cr.,36152,28,200,-,,ASYNC WEB,Hall J,$
CS,111,Intro Web Programming,4.00 cr.,31291,39,180,1000-1120,mw,100 WIL,Stewart L,!
CS,111,+ Lab,0.00 cr.,31292,5,30,1200-1250,m,B026 KLA,Leonard J,
CS,111,+ Lab,0.00 cr.,31293,8,30,1300-1350,m,B026 KLA,Huang J,
CS,111,+ Lab,0.00 cr.,31294,8,30,1400-1450,m,B026 KLA,Huang J,
CS,111,+ Lab,0.00 cr.,31295,9,30,1500-1550,m,B026 KLA,Huang J,
CS,111,+ Lab,0.00 cr.,31296,0,30,0900-0950,t,B026 KLA,Leonard J,
CS,111,+ Lab,0.00 cr.,31297,9,30,1000-1050,t,B026 KLA,Leonard J,
CS,122,Intro Prg & Prob Solv,4.00 cr.,31298,42,150,1000-1120,tr,180 PLC,Freeman Hennessy K,!
CS,122,+ Lab,0.00 cr.,31299,3,25,1400-1450,w,B026 KLA,Xiao Cai A,
CS,122,+ Lab,0.00 cr.,31300,10,25,1500-1550,w,B026 KLA,Daggubati N,
CS,122,+ Lab,0.00 cr.,31301,22,25,0800-0850,r,B026 KLA,Daggubati N,
CS,122,+ Lab,0.00 cr.,31302,2,25,0900-0950,r,B026 KLA,Daggubati N,
CS,122,+ Lab,0.00 cr.,31303,0,25,1200-1250,r,B026 KLA,Xiao Cai A,
CS,122,+ Lab,0.00 cr.,31304,5,25,1300-1350,r,B026 KLA,Xiao Cai A,
CS,211,Computer Science II,4.00 cr.,31305,12,150,1000-1120,tr,101 LLCS,Flores J,!A
CS,211,+ Lab,0.00 cr.,31306,0,30,1200-1250,t,B026 KLA,Palmstrom L,
CS,211,+ Lab,0.00 cr.,31307,1,30,1300-1350,t,B026 KLA,Palmstrom L,
CS,211,+ Lab,0.00 cr.,31308,8,30,0900-0950,w,B026 KLA,Lisan A,
CS,211,+ Lab,0.00 cr.,31309,1,30,1000-1050,w,B026 KLA,Lisan A,
CS,211,+ Lab,0.00 cr.,31310,2,30,1300-1350,w,B026 KLA,Hasanisaznaghi M,
CS,212,Computer Science III,4.00 cr.,31311,0,124,1000-1120,tr,129 MCK,Childs H,!A8
CS,212,+ Lab,0.00 cr.,31312,0,31,1400-1450,t,B026 KLA,Mathai M,
CS,212,+ Lab,0.00 cr.,31313,0,31,1500-1550,t,B026 KLA,Mathai M,
CS,212,+ Lab,0.00 cr.,31314,0,31,1100-1150,w,B026 KLA,Majumder M,
CS,212,+ Lab,0.00 cr.,31315,0,31,1200-1250,w,B026 KLA,Majumder M,
CS,315,Intermed Algorithms,4.00 cr.,31318,11,70,1400-1520,mw,128 CHI,Jiao L,!MA
CS,315,+ Dis,0.00 cr.,31319,10,35,0900-0950,r,301 GER,Hassan N,
CS,315,+ Dis,0.00 cr.,31320,1,35,1100-1150,f,105 ESL,Hassan N,
CS,322,Intro Software Engin,4.00 cr.,35352,2,50,1400-1520,tr,140 TYKE,Durairajan R,!M8
CS,322,+ Dis,0.00 cr.,35353,1,25,1400-1450,f,106 FR,Balmain N,!
CS,322,+ Dis,0.00 cr.,35354,1,25,1500-1550,f,303 GER,Balmain N,!
CS,330,C/C++ and Unix,4.00 cr.,31321,0,80,1000-1120,mw,128 CHI,Choi J,!MA8
CS,330,+ Dis,0.00 cr.,31322,0,80,1000-1050,f,128 CHI,Dang Q,
CS,401,Research,1.00-16.00 cr.,31323,10,10,tba,tba,tba,STAFF,!M
CS,401,Res Excel Undergrad,1.00-16.00 cr.,31324,7,7,-,,,Haley M,!M8
CS,402,Superv Teach Consultng,1.00-2.00 cr.,31325,24,25,-,,,Freeman Hennessy K,!M8
CS,403,Thesis,1.00-12.00 cr.,31326,7,10,tba,tba,tba,STAFF,!M
CS,404,Internship,1.00-4.00 cr.,31327,6,10,tba,tba,tba,STAFF,!M
CS,405,Reading,1.00-12.00 cr.,31328,15,15,tba,tba,tba,STAFF,!M
CS,406,Practicum,1.00-2.00 cr.,31329,10,10,tba,tba,tba,STAFF,!M
CS,407,Sem Career/Internships,2.00 cr.,31330,15,35,1530-1650,m,220 DES,Wills E,!M8
CS,410,Game Programing,4.00 cr.,31332,0,56,1200-1320,mw,240A MCK,Wills E,!M9
CS,410,Nat Lang Processing,4.00 cr.,36033,16,25,1000-1120,mw,303 GER,Nguyen T,!M
CS,415,Operating Systems,4.00 cr.,31335,26,75,1600-1720,tr,128 CHI,Malony A,!MA
CS,415,+ Lab,0.00 cr.,31336,19,25,0900-0950,f,B026 KLA,Summers A,
CS,415,+ Lab,0.00 cr.,31337,1,25,1200-1250,f,B026 KLA,Summers A,
CS,415,+ Lab,0.00 cr.,31338,6,25,1300-1350,f,B026 KLA,Summers A,
CS,422,Software Method I,4.00 cr.,31339,3,33,1000-1120,tr,41 LIB,Hornof A,!MA9
